BrowseAuthor,BrowseTitle,PublicationYear,CallNumber,TotalItemLifetimeCircCount,TotalItemYTDCircCount,,Call No. Color Code
"Geroux, William, author.",The ghost ships of Archangel : the Arctic voyage that defied the Nazis,2019,940.54 GER,11,1,,
"Hazelgrove, William Elliott, 1959- author.",Henry Knox's noble train : the story of a Boston bookseller's heroic expedition that saved the American Revolution,2020,973.3 HAZ,11,1,,
"Alexiou, Alice Sparberg, 1951- author.","Devil's mile : the rich, gritty history of the Bowery",2018,974.71 ALE,11,1,,
"Doidge, Kristin Marguerite, author.",Nora Ephron : a biography,2022,"BIOG EPHRON,N DOI",11,1,,
"Mills, Hayley, author.",Forever young : a memoir,2021,"BIOG MILLS,H MIL",11,1,,
"Zee, Ginger, author.",A little closer to home : how I found the calm after the storm,2021,"BIOG ZEE,G ZEE",11,1,,
"Hosanagar, Kartik, author.",A human's guide to machine intelligence : how algorithms are shaping our lives and how we can stay in control,2019,006.3 HOS,11,0,,
"Dewis, Glyn, author.","The Photoshop toolbox : essential techniques for mastering layer masks, brushes, and blend modes",2018,006.686 PHOTOSHOP DEW,11,0,,
"Gosden, Chris, 1955- author.","Magic : a history : from alchemy to witchcraft, from the Ice Age to the present",2020,133.43 GOS,11,0,,
"Wood, Wendy, 1954 June 17- author.","Good habits, bad habits : the science of making positive changes that stick",2019,152.33 WOO,11,0,,
"Firth-Godbehere, Richard, author.",A human history of emotion : how the way we feel built the world we know,2021,152.4 FIR,11,0,,
"Boyle, Greg, author.",The whole language : the power of extravagant tenderness,2021,153 BOY,11,0,,
"Robson, David G., author.",The intelligence trap : why smart people make dumb mistakes,2019,153.9 ROB,11,0,,
"Kessler, David, 1959- author.",Finding meaning : the sixth stage of grief,2019,155.937 KES,11,0,,
"Brown, Tabitha, author.","Feeding the soul (because it's my business) : finding our way to joy, love, and freedom",2021,158.1 BRO,11,0,,
"Bstan-Ê¼dzin-rgya-mtsho, Dalai Lama XIV, 1935- author.",An appeal to the world : the way to peace in a time of division,2017,170 BST,11,0,,
"Nietzsche, Friedrich Wilhelm, 1844-1900, author.",The will to power,2019,193 NIE,11,0,,
"Shermer, Michael, author.","Heavens on earth : the scientific search for the afterlife, immortality, and utopia",2018,202.3 SHE,11,0,,
"Gifford, Kathie Lee, 1953- author.","The rock, the road, and the rabbi : my journey into the heart of scriptural faith and the land where it all began",2018,248.4 GIF,11,0,,
"Nieuwhof, Carey, author.",Didn't see it coming : overcoming the seven greatest challenges that no one expects and everyone experiences,2018,248.86 NIE,11,0,,
"Douthat, Ross Gregory, 1979- author.",To change the church : Pope Francis and the future of Catholicism,2018,282.092 DOU,11,0,,
"Ginsberg, Gary, author.","First friends : the powerful, unsung (and unelected) people who shaped our presidents",2021,302.34 GIN,11,0,,
"Wallace-Wells, David, author.",The uninhabitable earth : life after warming,2019,304.2 WAL,11,0,,
"DiAngelo, Robin J., author.",White fragility : why it's so hard for white people to talk about racism,2020,305.8 DIA,11,0,,
"Miller, Bruce J., 1971- author.",A beginner's guide to the end : practical advice for living life and facing death,2019,306.9 MIL,11,0,,
"London, Douglas (Operations officer), author.",The recruiter : spying and the lost art of American intelligence,2021,327.1273 LON,11,0,,
"Unger, Craig, author.","House of Trump, house of Putin : the untold story of Donald Trump and the Russian mafia",2018,327.73 UNG,11,0,,
"Abrams, Stacey, author.",Minority leader : how to lead from the outside and make real change,2018,328.73 ABR,11,0,,
"Scalise, Steve, author.",Back in the game : the majority whip's remarkable fight for his life,2018,328.73 SCA,11,0,,
"Smith, Bren, author.",Eat like a fish : my adventures as a fisherman turned restorative ocean farmer,2019,338.3 SMI,11,0,,
"Wald, Ellen R. Ph. D., author.","Saudi, Inc. : the Arabian kingdom's pursuit of profit and power",2018,338.766 WAL,11,0,,
"Bazelon, Emily, author.",Charged : the new movement to transform American prosecution and end mass incarceration,2019,345.73 BAZ,11,0,,
"Clifford, Denis, author.",Estate planning basics,2020,346.73 NOL,11,0,,
"Chaffetz, Jason, 1967-, author.",The deep state : how an army of bureaucrats protected Barack Obama and is working to destroy Donald Trump,2018,351.73 CHA,11,0,,
"Sanders, Sarah Huckabee, author.","Speaking for myself : faith, freedom, and the fight of our lives inside the Trump White House",2020,352.23 SAN,11,0,,
"Glaser, Gabrielle, author.","American baby : a mother, a child, and the shadow history of adoption",2020,362.734 GLA,11,0,,
"Robinson, Mary, 1944- author.","Climate justice : hope, resilience, and the fight for a sustainable future",2018,363.7 ROB,11,0,,
"O'Rourke, John E., author.","Mystery, millions & murder in North Jersey : the tragic kidnapping of Exxon's Sidney Reso",2019,364.154 ORO,11,0,,
"Abagnale, Frank W., 1948- author.",Scam me if you can : simple strategies to outsmart today's rip-off artists,2019,364.163 ABA,11,0,,
"Zegarelli, Mark, author.",Next-generation Accuplacer for dummies : with online practice tests,2019,378.1662 ACC DUM,11,0,,
"Wohlleben, Peter, 1964- author.",The heartbeat of trees : embracing our ancient bond with forests and nature,2021,577.3 WOH,11,0,,
"Montgomery, Sy, author.","The hummingbirds' gift : wonder, beauty, and renewal on wings",2021,598.7 MON,11,0,,
"Gottfried, Sara, author.","Brain body diet : 40 days to a lean, calm, energized, and happy self",2019,610 GOT,11,0,,
,ATI TEAS prep plus : 2 practice tests + proven strategies + online.,2019,610.73 ATI TEAS KAP,11,0,,
,MCAT 528 : advanced prep 2019-2020,2018,610.76 MCAT 528 KAP,11,0,,
"Willeumier, Kristen, author.","Biohack your brain : how to boost cognitive health, performance & power",2020,612.82 WIL,11,0,,
"Chatterjee, Rangan, author.",How to make disease disappear,2018,613 CHA,11,0,,
"Asprey, Dave, author.","Fast this way : how to lose weight, get smarter, and live your longest, healthiest life with the bulletproof guide to fasting",2021,613.25 ASP,11,0,,
"Lewis, Michael (Michael M.), author.",The premonition : a pandemic story,2021,614.5 LEW,11,0,,
"Clare, Bevin, author.",Spice apothecary : blending and using common spices for everyday health,2020,615.321 CLA,11,0,,
"O'Donnell, Kate (Ayurvedic practitioner) author.","The everyday Ayurveda guide to self-care : rhythms, routines, and home remedies for natural healing",2020,615.5 ODO,11,0,,
"Patel, Rachna, author.","The CBD oil solution : treat chronic pain, anxiety, insomnia, and more--without the high",2019,615.7827 PAT,11,0,,
"Sherman, Aliza, author.","Cannabis and CBD for health and wellness : an essential guide for using nature's medicine to relieve stress, anxiety, chronic pain, inflammation, and more",2019,615.7827 SHE,11,0,,
"Michalsen, Andreas, author.","The fasting fix : eat smarter, fast better, live longer",2020,615.854 MIC,11,0,,
"Hensrud, Donald D., author.",The Mayo Clinic diabetes diet,2018,616.462 MAY,11,0,,
"Hallowell, Edward M., author.",Because I come from a crazy family : the making of a psychiatrist / Edward M. Hallowell.,2018,616.8 HAL,11,0,,
"Launius, Roger D., author.",The Smithsonian history of space exploration : from the ancient world to the extraterrestrial future,2018,629.4 LAU,11,0,,
"Tokiiro (Firm), authro.",Stylish succulents : Japanese inspired container gardens for small spaces,2018,635.9525 TOK,11,0,,
"Watkins, Julia, author.","Simply living well : a guide to creating a natural, low-waste home",2020,640 WAT,11,0,,
"Flay, Bobby, author.",Beat Bobby Flay : conquer the kitchen with 100+ battle-tested recipes,2021,641.5 FLA,11,0,,
"Hood, Ann, 1956-","Kitchen yarns : notes on life, love, and food",2018,641.5 HOO,11,0,,
"Howard, Vivian (Vivian S.), 1978- author.",This will make it taste good : a new path to simple cooking,2020,641.5 HOW,11,0,,
"Lightner, Jill, author.","Cooking from scratch : 120 recipes for colorful, seasonal food from PCC Community Markets",2018,641.5 LIG,11,0,,
"Buford, Bill, author.","Dirt : adventures in Lyon as a chef in training, father, and sleuth looking for the secrets of French cooking",2020,641.5092 BUF,11,0,,
"Helwig, Jenna, author.",Bare minimum dinners : recipes and strategies for doing less in the kitchen,2021,641.555 HEL,11,0,,
"Ramsay, Gordon.",Ramsay in 10,2021,641.555 RAM,11,0,,
"Lee, Edward, 1972- author.",Buttermilk graffiti,2018,641.59 LEE,11,0,,
"Campanaro, Joey, author.","Big love cooking : 75 recipes for satisfying, shareable comfort food",2020,641.5945 CAM,11,0,,
"Grinshpan, Eden.","Eating out loud : bold Middle Eastern flavors for all day, every day",2020,641.5956 GRI,11,0,,
"Khan, Yasmin (Cook), author.",Zaitoun : recipes from the Palestinian kitchen,2019,641.5956 KHA,11,0,,
"Ponseca, Nicole, author.",I am a Filipino,2018,641.5959 PON,11,0,,
"Trejo, Danny, 1944- author.",Trejo's tacos : recipes and stories from L.A.,2020,641.5979 TRE,11,0,,
,Vegetables illustrated : an inspiring guide with 700+ kitchen-tested recipes,2019,641.65 VEG,11,0,,
"Billis, Stacie, author.",Winner! winner! chicken dinner : 50 winning ways to cook it up!,2020,641.665 BIL,11,0,,
"Stone, Tuffy, author.",Cool smoke : the art of great barbecue,2018,641.76 STO,11,0,,
"Emberling, Amy, author.",Zingerman's Bakehouse,2017,641.815 EMB,11,0,,
"Greenspan, Dorie, author.","Baking with Dorie : sweet, salty & simple",2021,641.815 GRE,11,0,,
"Ferroni, Lara, author.",Doughnuts : 90 simple and delicious recipes to make at home,2018,641.8653 FER,11,0,,
"Flanagan, Shalane, author.","Rise and run : recipes, rituals, and runs to jumpstart your day",2021,642 FLA,11,0,,
"Giuliani, Mary, author.",Tiny hot dogs : a memoir in small bites,2019,642.4 GIU,11,0,,
"Moore, Joy Thomas, 1950- author.",The power of presence : be a voice in your child's ear even when you're not with them,2018,649.1 MOO,11,0,,
"Prodromou, Ted, author.",Ultimate guide to Linkedin for business,2019,650.14 PRO,11,0,,
"Rubenstein, David M., author.","How to lead : wisdom from the world's greatest CEOs, founders, and game changers",2020,658.4 RUB,11,0,,
"Painter, Nell Irvin, author.",Old in art school : a memoir of starting over,2018,700.92 PAI,11,0,,
"Brooker, Graeme, author.",Adaptation strategies for interior architecture and design,2017,729 BRO,11,0,,
"Miller, Judith, 1951- author.",Collectibles handbook & price guide. [2019-2020],2018,745.1 MIL,11,0,,
"Shida, Hitomi, author.",250 Japanese knitting stitches : the original pattern bible by Hitomi Shida,2018,746.432 SHI,11,0,,
"Henderson, Emily, author.","The new design rules : how to decorate and renovate, from start to finish",2021,747 HEN,11,0,,
"Michaels, Melissa, 1967- author.",But where do I put the couch? / And Answers to 100 Other Home Decorating Questions,2019,747 MIC,11,0,,
"Moses, Grandma, 1860-1961, artist.",Grandma Moses : American modern.,2016,759.13 MOS,11,0,,
"Harmon, Charlie, author.",On the road & off the record with Leonard Bernstein : my years with the exasperating genius,2018,780.92 HAR,11,0,,
"Snow, Richard, 1947- author.",Disney's land,2019,791.068 SNO,11,0,,
"Kenny, Glenn, author.",Made men : the story of Goodfellas,2020,791.43 KEN,11,0,,
"Reiss, Mike, 1959- author.","Springfield confidential : jokes, secrets, and outright lies from a lifetime writing for The Simpsons",2018,791.4572 REI,11,0,,
"Higgins, Maeve, author.",Maeve in America : essays by a girl from somewhere else,2018,792.7 HIG,11,0,,
"Goodman, Matthew, author.","The city game : triumph, scandal, and a legendary basketball team",2019,796.323 GOO,11,0,,
"Seinfeld, Jerry, author.",Is this anything?,2020,818.6 SEI,11,0,,
"Smith, Zadie, author.",Intimations : six essays,2020,824.914 SMI,11,0,,
,Top 10 Azores.,2019,914.699 AZO,11,0,,
"Bishop, Caroline, author.",DK eyewitness Switzerland,2019,914.94 SWI,11,0,,
,"Frommer's easyguide to Disney World, Universal & Orlando 2019",2019,917.5924 FRO,11,0,,
"Jensen, Jamie, author",California,2018,917.94 CAL,11,0,,
,Peru,2018,918.5 PER,11,0,,
"Friedman, Bonnie, author.",Top 10 Honolulu & O'ahu,2018,919.693 HON,11,0,,
"Jones, Dan, 1981- author.",Powers and thrones : a new history of the Middle Ages,2021,940.1 JON,11,0,,
"Makos, Adam, author.",Spearhead : the World War II odyssey of an American tank gunner,2019,940.54 MAK,11,0,,
"Lambert, Ray (Arnold Ray), author.","Every man a hero : a memoir of D-Day, the first wave at Omaha Beach, and a world at war",2019,940.5421 LAM,11,0,,
"Kean, Sam, author.",The Bastard Brigade : the true story of the renegade scientists and spies who sabotaged the Nazi atomic bomb,2019,940.5486 KEA,11,0,,
"Damrosch, Leopold, author.","The Club : Johnson, Boswell, and the friends who shaped an age",2019,942.1 DAM,11,0,,
"Popkin, Jeremy D., 1948- author.",A new world begins : the history of the French Revolution,2019,944 POP,11,0,,
"Zia, Helen, author.",Last boat out of Shanghai : the epic story of the Chinese who fled Mao's revolution,2019,951 ZIA,11,0,,
"Sides, Hampton, author.","On desperate ground : the Marines at the reservoir, the Korean War's greatest battle",2018,951.9 SID,11,0,,
"Schilling, Dan, author.",Alone at dawn : Medal of Honor Recipient John Chapman and the untold story of the world's deadliest special operations force,2019,958.1 SCH,11,0,,
"Ariosto, David, author.",This is Cuba : an American journalist under Castro's shadow,2018,972.91 ARI,11,0,,
"Brands, H. W., author.","Heirs of the founders : the epic rivalry of Henry Clay, John Calhoun and Daniel Webster, the second generation of American giants",2018,973.5 BRA,11,0,,
"Risen, Clay, author.","The crowded hour : Theodore Roosevelt, the Rough Riders, and the dawn of the American century",2019,973.8 RIS,11,0,,
"Zuckoff, Mitchell, author.",Fall and rise : the story of 9/11,2019,973.931 ZUC,11,0,,
"Souza, Pete, author.",Shade : a tale of two presidents,2018,973.932 SOU,11,0,,
"Gessen, Masha, author.",Surviving autocracy,2020,973.933 GES,11,0,,
"Grisham, Stephanie, 1977- author.",I'll take your questions now : what I saw at the Trump White House,2021,973.933 GRI,11,0,,
"Johnston, David, 1948- author.",It's even worse than you think : what the Trump administration is doing to America,2018,973.933 JOH,11,0,,
"Applegate, Debby, author.","Madam : the biography of Polly Adler, icon of the Jazz Age",2021,"BIOG ADLER,P APP",11,0,,
"Grant, James, 1946- author.",Bagehot : the life and times of the greatest Victorian,2019,"BIOG BAGEHOT,W GRA",11,0,,
"Bella, Brie, 1983- author.",Incomparable,2020,BIOG BELLA BEL,11,0,,
"Zamoyski, Adam, author.",Napoleon : a life,2018,"BIOG BONAPARTE,N ZAM",11,0,,
"Bush, Barbara, 1925-2018, author.",Pearls of wisdom : little pieces of advice (that go a long way),2020,"BIOG BUSH,B BUS",11,0,,
"Byrne, Gabriel, 1950- author.",Walking with ghosts : a memoir,2021,"BIOG BYRNE,G BYR",11,0,,
"Roberts, Andrew, 1963- author.",Churchill : walking with destiny,2018,"BIOG CHURCHILL,W ROB",11,0,,
"Angela, Alberto, 1962- author.",Cleopatra : the queen who challenged Rome and conquered eternity,2021,BIOG CLEOPATRA ANG,11,0,,
"Wilson, A. N., 1950- author",The mystery of Charles Dickens,2020,"BIOG DICKENS,C WIL",11,0,,
"Drummond, Ree, author.",Frontier follies : adventures in marriage and motherhood in the middle of nowhere,2020,"BIOG DRUMMOND,R DRU",11,0,,
"Irving, Clive. author.",The last queen : Elizabeth II's seventy year battle to save the House of Windsor,2021,BIOG ELIZABETH II IRV,11,0,,
"Granata, Vince, author.",Everything is fine : a memoir,2021,"BIOG GRANATA,V GRA",11,0,,
"Morgan, Michelle, 1970- author.","The girl : Marilyn Monroe, the Seven Year Itch, and the birth of an unlikely feminist",2018,"BIOG MONROE,M MOR",11,0,,
"Morgan, Hilarie Burton, 1982- author.","The rural diaries : love, livestock, and big life lessons down on Mischief Farm",2020,"BIOG MORGAN,H MOR",11,0,,
"Russo, Gianni, 1943- author.",Hollywood godfather : my life in the movies and the mob,2019,"BIOG RUSSO,G RUS",11,0,,
"Hilburn, Robert, author.",Paul Simon : the life,2018,"BIOG SIMON,P HIL",11,0,,
"Stone, Sharon, 1958- author.",The beauty of living twice,2021,"BIOG STONE,S STO",11,0,,
"Talley, AndreÌ",The chiffon trenches : a memoir,2020,"BIOG TALLEY,A TAL",11,0,,
"Trethewey, Natasha D., 1966- author.",Memorial Drive : a daughter's memoir,2020,"BIOG TRETHEWEY,N TRE",11,0,,
"Tweedy, Jeff, 1967- author.","Let's go (so we can get back) : a memoir of recording and discording with Wilco, etc.",2018,"BIOG TWEEDY,J TWE",11,0,,
"Oshima, Alice, author.","Longman Academic Writing Series, Level 4 : Essays : with essential online resources",2017,ESL 428.24 OSH,11,0,,
,How to grow anything [videorecording (DVD)] : food gardening for everyone,2015,KIT 635 MYE,11,0,,
"Vincent, James (Journalist), author.",Beyond measure : the hidden history of measurement from cubits to quantum constants,2023,530.8 VIN,10,10,,
"Pursell, J. J., 1973- author.","Medicinal herbs for family health & wellness : 123 trusted recipes for common concerns, from allergies & asthma to sunburns & toothaches",2021,615.321 PUR,10,10,,
"Oliver, Jamie, 1975- author.",One : simple one-pan wonders,2023,641.82 OLI,10,10,,
"Hilton, Paris, 1981- author.",Paris : the memoir,2023,"BIOG HILTON,P HIL",10,10,,
"Morial, Michelle Miller, 1967- author.",Belonging : a daughter's search for identity through love and loss,2023,"BIOG MILLER,M MOR",10,10,,
"Davis, Kenneth C., author.",Great short books : a year of reading--briefly,2022,011.73 DAV,10,9,,
,The complete modern pantry : 350+ ways to cook well with what's on hand,2022,641.555 AME,10,9,,
"Kaul, Rosheen.","Chinese-ish : home cooking not quite authentic, 100% delicious",2022,641.5951 KAU,10,9,,
"Black, Matthew, author.",Operation underworld : how the mafia and US government teamed up to win World War II,2023,940.54 BLA,10,9,,
"Cowie, Jefferson, author.",Freedom's dominion : a saga of white resistance to federal power,2022,305.8 COW,10,8,,
"Wong, Brian A., author.",The tao of Alibaba : inside the Chinese digital giant that is changing the world,2022,381.142 WON,10,8,,
"Leung, Bill, 1964- author.",The woks of life : recipes to know and love from a Chinese American family,2022,641.5951 LEU,10,8,,
"Gallo, Carmine, author.",The Bezos blueprint : communication secrets of the world's greatest salesman,2022,658.45 GAL,10,8,,
"Leggero, Natasha, author.",The world deserves my children,2022,814.6 LEG,10,8,,
"Yeh, Molly, author.",Home is where the eggs are : farmhouse food for the people you love,2022,641.5 YEH,10,7,,
"Longley, Darren, author.",London [2021],2021,914.21 LON,10,7,,
"Starr, Michael, 1961- author.",Don Rickles : the merchant of venom : a biography,2022,"BIOG RICKLES,D STA",10,7,,
"Wu, Constance, 1982- author.",Making a scene,2022,"BIOG WU,C WU",10,7,,
"Holiday, Ryan, author.",Discipline is destiny : the power of self-control,2022,179.9 HOL,10,6,,
"Ravella, Shilpa, author.","A silent fire : the story of inflammation, diet, and disease",2022,616.0473 RAV,10,6,,
"Tosi, Christina, author.",All about cookies,2022,641.8654 TOS,10,6,,
,Austria.,2020,914.36 AUS,10,6,,
"Clark, Lloyd, 1967- author.","The commanders : the leadership journeys of George Patton, Bernard Montgomery and Erwin Rommel",2022,940.53 CLA,10,6,,
"Schiff, Stacy, author.",The revolutionary : Samuel Adams,2022,"BIOG ADAMS,S SCH",10,6,,
"HÃ¤gglund, Martin, author.",This life : secular faith and spiritual freedom,2019,110 HAG,10,5,,
"Smil, Vaclav, author.",How the world really works : the science behind how we got here and where we're going,2022,303.48 SMI,10,5,,
"Yates, Kit, author.",The math of life and death : 7 mathematical principles that shape our lives,2020,510 YAT,10,5,,
"Quave, Cassandra Leah, author.",The plant hunter : a scientist's quest for nature's next medicines,2021,581.63 QUA,10,5,,
"Beranbaum, Rose Levy, author.",The cookie bible,2021,641.8654 BER,10,5,,
"Copeland, Misty, author.","The wind at my back : resilience, grace, and other gifts from my mentor, Raven Wilkinson",2022,792.8 COP,10,5,,
"Oakley, Charles, 1963- author.",The last enforcer : outrageous stories from the life and times of one of the NBA's fiercest competitors,2022,796.323 OAK,10,5,,
,Top 10 London,2019,914.21 LON,10,5,,
"Brewer, Stephen, author.",Italy,2022,914.5 FRO,10,5,,
"TranÃ¦us, Tomas, author.",Top 10 Lisbon,2021,914.6942 LIS,10,5,,
"Worsley, Lucy, author.",Agatha Christie : an elusive woman,2022,"BIOG CHRISTIE,A WOR",10,5,,
"McCarthy, Michael, 1947- author.",English phrasal verbs in use : vocabulary reference and practice. Intermediate book with answers,2017,ESL 428.24 MCC,10,5,,
"Price, Michael, 1942- author.",Microsoft 365 : master Microsoft Office essentials,2021,005.5 MS OFFICE 365 EAS,10,4,,
"Hale, Kathleen, 1986- author.","Slenderman : online obsession, mental illness, and the violent crime of two midwestern girls",2022,364.152 HAL,10,4,,
,SAT subject test chemistry prep,2019,378.1662 SAT-CHEM PRI,10,4,,
"Foo, Stephanie, author.",What my bones know : a memoir of healing from complex trauma,2022,616.8521 FOO,10,4,,
"Heimowitz, Colette, author.","The Atkins 100 eating solution : easy, low-carb living for everyday wellness",2020,641.5638 HEI,10,4,,
"Ochs, Meredith.",Rock-and-roll woman : the 50 fiercest female rockers,2018,781.66 OCH,10,4,,
"Overy, R. J., author.","Blood and ruins : the last imperial war, 1931-1945",2022,940.53 OVE,10,4,,
"Henrich, Joseph Patrick, author.",The WEIRDest people in the world : how the West became psychologically peculiar and particularly prosperous,2020,153 HEN,10,3,,
GuzmaÌ,I never thought of it that way : how to have fearlessly curious conversations in dangerously divided times,2022,153.6 GUZ,10,3,,
"Lee, Marisa Renee, author.",Grief is love : living with loss,2022,155.937 LEE,10,3,,
"Mezrich, Ben, 1969- author.",The antisocial network : the GameStop short squeeze and the ragtag group of amateur traders that brought Wall Street to its knees,2021,332.63 MEZ,10,3,,
"Stodola, Sarah, author.","The last resort : a chronicle of paradise, profit, and peril at the beach",2022,333.78 STO,10,3,,
"McKibben, Bill, author.","The flag, the cross, and the station wagon : a graying American looks back at his suburban boyhood and wonders what the hell happened",2022,361.1 MCK,10,3,,
,Peterson's four-year colleges 2021.,2020,378.1542 FOU,10,3,,
"Lieberman, David J., author.","Mindreader : find out what people really think, what they really want, and who they really are",2022,401 LIE,10,3,,
"Cowen, Ron, 1957- author.",Gravity's century : from Einstein's eclipse to images of black holes,2019,530.11 COW,10,3,,
"Stamp, Nikki, author.",Can you die of a broken heart? : a heart surgeon's insight into what makes us tick,2018,612.17 STA,10,3,,
"Hooven, Carole, author.","T : the story of testosterone, the hormone that dominates and divides us",2021,612.6 HOO,10,3,,
"Eagleman, David, author.",Livewired : the inside story of the ever-changing brain,2020,612.8 EAG,10,3,,
"Aguirre, Lauren Seeley, author.",The memory thief : and the secrets behind how we remember : a medical mystery,2021,616.8 AGU,10,3,,
"Halleck, Leslie F., author.","Plant parenting : easy ways to make more houseplants, vegetables, and flowers",2019,631.5 HAL,10,3,,
"Chapman, Karen (Landscape designer), author.",Deer-resistant design : fence-free gardens that thrive despite the deer,2019,635 CHA,10,3,,
,Herbal handbook : 51 profiles in words and art from the Rare Books and Folio Collection of The New York Botanical Garden,2022,635.7 HER,10,3,,
"Fahr, Yasmin, author.","Boards & spreads : shareable, simple arrangements for every meal",2022,641.5 FAH,10,3,,
"Lugavere, Max, author.","Genius kitchen: over 100 easy and delicious recipes to make your brain sharp, body strong, and taste buds happy",2022,641.5637 LUG,10,3,,
"Hall, Carla, author.",Carla Hall's soul food : everyday and celebration,2018,641.5975 HAL,10,3,,
"Hussain, Nadiya, author.","Nadiya bakes : over 100 must-try recipes for breads, cakes, biscuits, pies, and more",2021,641.815 HUS,10,3,,
"Cefaratti, Meghann, author.","Wiley CPAexcel exam review study guide, 2022. Financial accounting and reporting",2022,657.076 WIL,10,3,,
"Saltz, Jerry, 1951- author.",How to be an artist,2020,701 SAL,10,3,,
"Zoglin, Richard, author.",Elvis in Vegas : the heyday and reinvention of the Las Vegas show,2019,782.4216 ZOG,10,3,,
"West, Lindy, author.","Shit, actually : the definitive, 100% objective guide to modern cinema",2020,791.43 WES,10,3,,
,The Moth presents Occasional magic : true stories of defying the impossible,2019,808.5 BUR,10,3,,
,Croatia.,2019,914.972 CRO,10,3,,
"Schiff, Adam B., author.",Midnight in Washington : how we almost lost our democracy and still could,2021,973.933 SCH,10,3,,
"Hart, Claire","English for everyone. Level 4, advanced practice book",2016,ESL 428.24 ENG,10,3,,
"Hart-Davis, Guy, author.","Teach yourself visually iPhone 8, iPhone 8 Plus, and iPhone X",2018,004.1675 APPLE IPHONE VIS,10,2,,
"Rae, Amber, author.",Choose wonder over worry : move beyond fear and doubt to unlock your full potential,2018,158.1 RAE,10,2,,
"McEntyre, Marilyn Chandler, 1949- author.",Make a list : how a simple practice can change our lives and open our hearts,2018,204.4 MCE,10,2,,
"Gulley, Philip, author.",Unlearning God : how unbelieving helped me to believe,2018,289.6 GUL,10,2,,
"Knight, Keltie, 1982- author.",Act like a lady,2020,305.42 KNI,10,2,,
"Sizlo, Natasha, author.","All signs point to Paris : a memoir of love, loss, and destiny",2022,306.7 SIZ,10,2,,
"Chang, Gordon H., author.",Ghosts of Gold Mountain : the epic story of the Chinese who built the transcontinental railroad,2019,331.6 CHA,10,2,,
"Lathan, Van, Jr., author.","Fat, crazy, and tired : tales from the trenches of transformation",2022,613.2 LAT,10,2,,
"Belsinger, Susan, author.",Grow your own herbs : the 40 best culinary varieties for home gardens,2019,635.7 BEL,10,2,,
"Branigan, Cynthia A., author.",The last diving horse in America : rescuing Gamal and other animals -- lessons in living and loving,2021,636.1 BRA,10,2,,
"Nicholson, Dean, author.",Nala's world,2020,636.8 NIC,10,2,,
"Saladino, Dan, 1970- author.",Eating to extinction : the world's rarest foods and why we need to save them,2022,641.3 SAL,10,2,,
"Holzman, Daniel, author.","Food IQ : 100 questions, answers, and recipes to raise your cooking smarts",2022,641.5 HOL,10,2,,
"Cohen, Jake, 1993- author.",Jew-ish : reinvented recipes from a modern mensch : a cookbook,2021,641.5676 COH,10,2,,
"Kim, Sohui, author.",Korean home cooking : classic and modern recipes,2018,641.5951 KIM,10,2,,
"Leahy, Kate, author.","Lavash : the bread that launched 1,000 meals, and other recipes from Armenia",2019,641.5956 LEA,10,2,,
"Noyes, Brian, (Baker), author.",The Red Truck Bakery farmhouse cookbook : gold-standard recipes from America's favorite rural bakery,2022,641.5973 NOY,10,2,,
"King Arthur Baking Company, author, issuing body.",The all-purpose baker's companion,2021,641.815 KIN,10,2,,
"Ansel, Dominique, author.",Everyone can bake : simple recipes to master and mix,2020,641.8653 ANS,10,2,,
"Bateman, Justine, author.",Face : one square foot of skin,2021,646.72 BAT,10,2,,
"Raz, Guy, author.",How I built this : the unexpected paths to success from the world's most inspiring entrepreneurs,2020,658.11 RAZ,10,2,,
"Mars, Roman, author.",The 99% invisible city : a field guide to the hidden world of everyday design,2020,720 MAR,10,2,,
"Rozzo, Mark, author.","Everybody thought we were crazy : Dennis Hopper, Brooke Hayward, and 1960s Los Angeles",2022,791.43 ROZ,10,2,,
"Wohl, Alice Sedgwick, author.",As it turns out : thinking about Edie and Andy,2022,791.43 WOH,10,2,,
"Pearlman, Jeff, author.","Three-ring circus : Kobe, Shaq, Phil, and the crazy years of the Lakers dynasty",2020,796.323 PEA,10,2,,
"Wilson, Neil, 1959- author.",Ireland,2022,914.15 LON,10,2,,
,Czech & Slovak Republics.,2018,914.37 CZE,10,2,,
"Milner, Rebecca, author.",Japan,2019,915.2 LON,10,2,,
,Fodor's essential Caribbean,2020,917.29 FOD,10,2,,
,"Pacific Northwest : Oregon, Washington and British Columbia.",2020,917.95 PAC,10,2,,
,Fodor's essential Hawaii,2020,919.69 FOD,10,2,,
"Beevor, Antony, 1946- author.",The Battle of Arnhem : the deadliest airborne operation of World War II,2018,940.5421 BEE,10,2,,
"Fischer, David Hackett, 1935- author.",African founders : how enslaved people expanded American ideals,2022,973.0496 FIS,10,2,,
"Vasko, Cindy, author, photographer.",Abandoned Catskills : deserted playgrounds,2019,974.738 VAS,10,2,,
"Birdsall, John, author.",The man who ate too much : the life of James Beard,2020,"BIOG BEARD,J BIR",10,2,,
"Leerhsen, Charles, author.",Down and out in paradise : the life of Anthony Bourdain,2022,"BIOG BOURDAIN,A LEE",10,2,,
,American cult,2021,GRAPHIC 209.0973 CHA,10,2,,
"Evans, Beth, (Instagram celebrity), author, illustrator.",I really didn't think this through : tales from my so-called adult life,2018,GRAPHIC 305.24 EVA,10,2,,
